org.argouml.model.XmiWriter	  xmi writer xmi writer set xmi extension writer write  
org.argouml.configuration.Configuration	  configuration configuration set integer make key make key make key make key make key make key get configuration handler get factory load load load save save get boolean get boolean get double get double set boolean set double get integer get integer get string get string remove key set string add listener add listener remove listener remove listener file loaded url loaded file saved url saved configure  
org.argouml.uml.diagram.ui.ActionStereotypeView	  action stereotype view action stereotype view value of target toggle value of target update selection target node selected stereotype view  
org.argouml.ui.explorer.ExplorerTree	  explorer tree explorer tree         refresh selection add targets internal select visible select children                     set selection paint select all Background image updating selection updating selection via tree selection     uid  
org.argouml.uml.diagram.activity.ui.FigPool	  figure pool figure pool get fill color   selectable set fill color set filled get use trap rectangle set standard bounds create stereotype figure add enclosed figure   filled clone initialize get minimum size  
org.argouml.cognitive.ui.TabToDo	  tab    do tab    do target set target added target removed show step set target internal increment number hushes show description update actions enabled get target set target refresh component hidden component moved component resized component shown set tree number hushes action new    do item action resolve action snooze description last panel split pane target     uid  
org.argouml.notation.providers.uml.ExtensionPointNotationUml	  extension point notation uml extension point notation uml get parsing help parse extension point figure parse extension point    string    string parse  
org.argouml.moduleloader.InitModuleLoader	  init module loader init module loader get project settings tabs get details tabs get settings tabs init  
org.argouml.util.osdep.OsUtil	  os util os util   mac o s x   win     mac   sun jdk  
org.argouml.uml.diagram.static_structure.layout.ClassdiagramEdge	  class diagram edge class diagram edge get destination figure node get source figure node get v gap set h gap set v gap get h gap get underlying figure get current edge layout v gap h gap current edge underlying figure destination figure node source figure node  
org.argouml.uml.cognitive.critics.WizAddInstanceVariable	  wizard add instance variable wizard add instance variable set instructions do action make panel step  label instructions  
org.argouml.uml.diagram.use_case.UseCaseDiagramGraphModel	  use case diagram graph model use case diagram graph model add edge can add edge get ports get in edges get out edges can add node add node can connect add node related edges get owner vetoable change       uid  
org.argouml.core.propertypanels.ui.UMLCommentBodyDocument	  uml comment body document uml comment body document get property set property     uid  
org.argouml.gefext.ArgoModeCreateFigSpline	  argo mode create figure spline argo mode create figure spline instructions create new item  
org.argouml.uml.ui.behavior.common_behavior.ActionAddInstanceClassifier	  action add instance classifier action add instance classifier do it get choices get selected get dialog title choice class  
org.argouml.uml.ui.behavior.common_behavior.ActionSetActionAsynchronous	  action set action asynchronous action set action asynchronous get instance action performed singleton     uid  
org.argouml.uml.ui.ActionAddTopLevelPackage	  action add top level package action add top level package action performed  
org.argouml.ui.explorer.rules.GoEnumerationToLiterals	  go enumeration    literals go enumeration    literals get dependencies get rule name get children  
org.argouml.uml.diagram.ui.FigEdgePort	  figure edge port figure edge port hit figure   selectable class name and bounds hit port get port figure initialize get owner hit big port     uid  
org.argouml.uml.cognitive.critics.CrInterfaceAllPublic	  critic interface all public critic interface all public get criticized design materials predicate   
org.argouml.model.mdr.UndoDataTypesHelperDecorator	  undo data types helper decorator undo data types helper decorator  
org.argouml.uml.ui.ActionSetSourcePath	  action set source path action set source path get new directory action performed     uid  
org.argouml.model.CopyHelper	  copy helper copy helper copy  
org.argouml.uml.ui.behavior.use_cases.ActionAddExtendExtensionPoint	  action add extend extension point action add extend extension point do it get choices get selected get dialog title get instance singleton  
org.argouml.uml.diagram.ExtensionPointsCompartmentContainer	  extension points compartment container extension points compartment container   extension points visible set extension points visible  
org.argouml.uml.diagram.ui.FigOperationsCompartment	  figure operations compartment figure operations compartment get notation type get compartment type get uml collection create figure text get name  
org.argouml.uml.cognitive.critics.CrCrossNamespaceAssoc	  critic cross namespace association critic cross namespace association get criticized design materials predicate   
org.argouml.uml.ui.ActionSaveProject	  action save project action save project internal set enabled set enabled action performed     uid    
org.argouml.uml.ui.foundation.core.ActionSetGeneralizableElementRoot	  action set generalizable element root action set generalizable element root get instance action performed singleton  
org.argouml.core.propertypanels.ui.UMLPartitionContentListModel	  uml partition content list model uml partition content list model   valid element build model list  
org.argouml.model.euml.ChangeCommand	  change command change command set objects   valid get label objects model implement  
org.argouml.uml.ui.UMLExpressionModel2	  uml expression model  uml expression model  get body     set language set body get expression set expression set expression target set target added target removed new expression target changed get language set target get container property change container property name expression must refresh emptystring target  
org.argouml.uml.ui.UMLModelElementCommentDocument	  uml model element comment document uml model element comment document get property set property use body  
org.argouml.model.euml.CommonBehaviorHelperEUMLImpl	  common behavior helper e uml implement common behavior helper e uml implement set operation set signal add stimulus set contexts set receiver set reception set script set sender add action add action remove action set specification remove classifier remove context remove reception add actual argument add actual argument add classifier set dispatch action set communication link set asynchronous set classifiers set component instance set node instance set recurrence set transition get instantiation set instantiation get action owner remove actual argument set actual arguments set target set value get source set instance get destination model implement  
org.argouml.ui.cmd.NavigateTargetForwardAction	  navigate target forward action navigate target forward action   enabled action performed     uid  
org.argouml.uml.ui.behavior.collaborations.ActionAddMessagePredecessor	  action add message predecessor action add message predecessor do it get choices get selected get dialog title get instance singleton  
org.argouml.uml.cognitive.critics.CrMultipleAgg	  critic multiple aggregate critic multiple aggregate get wizard class get criticized design materials predicate   
org.argouml.uml.diagram.ui.ActionAddExistingNode	  action add existing node action add existing node   enabled action performed object  
org.argouml.ui.HeapMonitor	  heap monitor heap monitor update stats paint action performed warn threshold critical threshold warn color critical color total color m free total maximum used  
org.argouml.core.propertypanels.ui.UMLLinkAssociationComboBoxModel	  uml link association combo box model uml link association combo box model get selected model element   valid element build model list get action     uid  
org.argouml.cognitive.critics.Wizard	  wizard wizard set    do item back remove panel   started   finished get    do item get number steps get panel can go next do action do action make panel can go back undo action undo action can finish get step get current panel next finish get progress panels step finished started item  
org.argouml.uml.diagram.ui.ActionAddNote	  action add note action add note calculate location action performed default position distance     uid  
org.argouml.uml.diagram.state.ui.FigJunctionState	  figure junction state figure junction state set line color set line width get fill color set fill color set filled init figures get closest point set standard bounds create big port figure   filled clone   resizable mouse clicked get line width get line color x y width height head     uid  
org.argouml.uml.ui.PropPanel	  property panel property panel     add action add action add action get model element add field lookup icon target set target added build tool bar collect target listeners collect target listener actions format element target removed should be enabled set title label create label for add field after add field before get display namespace format namespace format collection get delete action   removable element fire target added fire target removed fire target set get title label create border panel set button panel size get actions get target set target refresh component hidden component moved component resized component shown get profile add separator set orientation   target model element listener list button panel title label actions standard font  
org.argouml.ui.explorer.rules.GoStereotypeToTagDefinition	  go stereotype    tag definition go stereotype    tag definition get dependencies get rule name    string get children  
org.argouml.application.api.Argo	  argo argo get directory get encoding set directory argoini key startup directory key splash key edem key most recent project file key most recent export directory key reload recent project key number last recent used key screen top y key screen left x key screen width key screen height key screen maximized key screen southwest width key screen northwest width key screen southeast width key screen northeast width key screen west width key screen east width key screen south height key screen north height key screen theme key look and feel class key theme class key smooth edges key user email key user fullname key user import classpath key import general settings flags key import general detail level key input source encoding key xmi strip diagrams key default model key user explorer perspectives key locale key grid key snap console   argo console suppress argo console prefix documentation tag author tag since tag see tag deprecated tag   tag documentation tag alt scope application scope project  
org.argouml.model.AbstractUmlHelperDecorator	  abstract uml helper decorator abstract uml helper decorator   movable add listeners    model delete collection get source move get destination implement  
org.argouml.uml.diagram.static_structure.ui.FigOperation	  figure operation figure operation remove from diagram get notation provider type get figure font style property change  
org.argouml.model.euml.CommandStackImpl	  command stack implement command stack implement   command stack capability available get redo label get undo label redo undo can redo can undo model implementation  
org.argouml.model.Facade	  facade facade get namespace get internal transitions get transitions   a change event get change expression   a signal event get deferrable events get do activity get state machine   a call event get body   a time event   a event get exit get outgoings get incomings get tip string   a transition   a object flow state   a uml element   a simple state get targets   a named element   a get signal   query get contexts get stimuli get messages   a actor   a call state   a action   a artifact   a attribute   a binding   a class   a comment   a component   a data type   a data value   a element   a exception   a extend   a extension   a flow   a guard   a include   a instance   a interface   a link   a link end   a message   a method   a model   a namespace   a node   a feature get binding get operation get upper get association end get generalization has return parameter direction kind   asynchronous   a activity edge   a activity graph   a activity node   a behavioral feature   a call action   a association class   a classifier   a classifier in state   a classifier role   a collaboration   a component instance   a constraint   a create action   a dependency   a destroy action   a composite state   a element import   a element residence   a enumeration   a expression   a extension point   a final state   a generalization   a interaction   a link object   a model element   a multiplicity   a multiplicity range   a nary association   a node instance   a package import   a primitive type   a pseudostate   a pseudostate kind   a return action   a relationship   a send action   a send signal action   a state machine   a state vertex   a stereotype   a structural feature   a sub machine state   a subsystem instance   a synch state   a tagged value   a template argument   a template parameter   a terminate action   a visibility kind   a concurrent region   initialized   primary object get associations get association roles get base classes get behavioral feature get classifier roles get classifiers get connections get element residences get element imports  get element imports get expression get extended elements get extension point get extension points get generalizations get interaction get interactions get successors get activated messages get received messages get sent messages get multiplicity get annotated elements get communication link get collaborations get component instance get create actions get discriminator get dispatch action get imported elements get imported element get node instance get object flow states get occurrences get operations get other link ends get owned elements get power type ranges get predecessors get qualifiers get parameters list get raised signals get raised exceptions get resident elements get source flows get specializations get stereotypes get classifier get receptions get recurrence get transition get uml     a abstraction   a accept event action   a action sequence   a action state   a object node   a sub activity state   a aggregation kind   a association   a association end   a association role   a attribute link   a operation   a object   a parameter   a partition   a package   a profile   a property get kind get receiver get link   a reception   a signal   a stimulus   a state   a stub state   a subsystem   a usage   a use case   concurrent   composite   aggregate   internal   navigable   realize   return   singleton   stereotype   top   utility get base get bases get behaviors get bound get specific get clients get condition get effect get extends get extenders get features get guard get includes get includers get instances get in states get comments get links get link ends get next end get ordering get power type get general get sender get resident get residents get states get top get template get arguments get use case get lower get suppliers get activator get activity get addition get alias get tag of tag get data value get u uid lookup in   a argument   synch get represented classifier get represented operation get template parameters get structural features get tagged values collection get received stimuli get sent stimuli get subvertices get sub machine get sub machine states get typed values get target flows get default element get specifications get action sequence get activity graph get actual arguments get aggregation get associated classes get tagged values get tagged value value get value of tag get reference value get partitions get reference state get uml class name   a tag definition get tag definitions get tag definition get metatype names get model element get association get association ends   specification get visibility get changeability get target scope get concurrency get specification get tagged value get client dependencies get supplier dependencies   a applied profile element   a association end role   a collaboration instance set   a directed relationship   a enumeration literal   a generalizable element   a interaction instance set   a profile application equals pseudostate kind   a uninterpreted action get classifiers in state get enumeration literals get inner containing model get communication connection get constraining elements get constrained elements get model element container get model element contents get model element associated get deployed components get deployment locations get operations and receptions get other association ends    string get name get value get instance get methods get package   abstract   constructor get location get actions get context get state get enumeration   protected get type get default value   static   package   private   public   type get target   frozen   read only get entry get attributes get extension get script get owner get parameters get container   active get source get when get contents get constraints get trigger get icon get root get action   leaf get root elements get sources   root get parameter get parameter get children get initial value get tag generated tag derived tag  
org.argouml.uml.util.namespace.StringNamespace	  string namespace string namespace peek namespace element pop namespace element push namespace element push namespace element get base namespace get common namespace set default scope token hash code equals    string    string   empty iterator parse parse   namespace token  
org.argouml.notation.providers.ComponentInstanceNotation	  component instance notation component instance notation  
org.argouml.model.mdr.UndoStateMachinesHelperDecorator	  undo state machines helper decorator undo state machines helper decorator  
org.argouml.uml.diagram.activity.ui.FigSubactivityState	  figure sub activity state figure sub activity state set line color set line width get fill color set fill color set filled init figures update name text update listeners set standard bounds create big port figure   filled make sub states icon clone get minimum size get line width get line color model changed padding x y w h sx sy sw sh cover s  s  s   
org.argouml.uml.ui.foundation.core.UMLAssociationEndChangeabilityRadioButtonPanel	  uml association end changeability radio button panel uml association end changeability radio button panel build model label texts and action commands  
org.argouml.uml.ui.UMLCheckBox2	  uml check box  uml check box  target set target added target removed build model get target set target property change check box target property set name  
org.argouml.swingext.LeftArrowIcon	  left arrow icon left arrow icon get icon height get icon width paint icon  
org.argouml.notation.providers.uml.TransitionNotationUml	  transition notation uml transition notation uml get parsing help generate classifier ref find or build change event find or build signal event generate parameter list generate expression generate parameter parse transition find or build time event find call event generate event generate guard generate kind parse trigger parse guard parse effect    string    string delete parse  
org.argouml.util.Predicate	  predicate predicate evaluate  
org.argouml.uml.ui.ActionDeploymentDiagram	  action deployment diagram action deployment diagram   valid namespace create diagram find namespace       uid  
org.argouml.model.UmlChangeEvent	  uml change event uml change event get original event    string original event  
org.argouml.model.AbstractUseCasesHelperDecorator	  abstract use cases helper decorator abstract use cases helper decorator get extension points get extends get includes get all actors remove extend set addition add extend add include set condition set extension set includes set use case get all use cases get extended use cases get included use cases get specification path add extension point add extension point remove extension point remove include set extension points get component set location set base implement  
org.argouml.application.helpers.ResourceLoaderWrapper	  resource loader wrapper resource loader wrapper lookup icon lookup icon lookup icon resource lookup icon resource init resource loader look and feel path add resource location get image binding lookup icon url lookup icon url get instance   initial state icon deep icon shallow icon fork icon join icon branch icon junction icon realize icon signal icon exception icon comment icon icon cache instance images  
org.argouml.profile.internal.ocl.LambdaEvaluator	  lambda evaluator lambda evaluator evaluate  
org.argouml.uml.diagram.static_structure.ui.SelectionInterface	  selection interface selection interface get instructions get new node get icons get new edge type get new node type   reverse edge realiz inherit icons instructions  
org.argouml.notation.providers.uml.OperationNotationUml	  operation notation uml operation notation uml get parsing help get tagged values get return parameters parse operation parse operation figure token open brace set return parameter get parameter list parse error    string    string get properties parse reception keyword  
org.argouml.uml.ui.foundation.core.ActionSetGeneralizableElementLeaf	  action set generalizable element leaf action set generalizable element leaf get instance action performed singleton  
org.argouml.ui.explorer.rules.GoDiagramToNode	  go diagram    node go diagram    node get dependencies get rule name get children  
org.argouml.uml.ui.UMLScriptExpressionModel	  uml script expression model uml script expression model get expression set expression new expression  
org.argouml.cognitive.critics.WizardItem	  wizard item wizard item changed  
org.argouml.uml.cognitive.critics.CrComponentInstanceWithoutClassifier	  critic component instance without classifier critic component instance without classifier compute offenders still valid    do item predicate      uid  
org.argouml.ui.explorer.rules.GoNamespaceToOwnedElements	  go namespace    owned elements go namespace    owned elements get dependencies get rule name get children  
org.argouml.model.mdr.UndoCollaborationsHelperDecorator	  undo collaborations helper decorator undo collaborations helper decorator  
org.argouml.ui.explorer.rules.GoClassifierToCollaboration	  go classifier    collaboration go classifier    collaboration get dependencies get rule name get children  
org.argouml.uml.ui.UMLDeprecatedCheckBox	  uml deprecated check box uml deprecated check box  
org.argouml.uml.diagram.GraphChangeAdapter	  graph change adapter graph change adapter create diagram node added node removed edge added edge removed graph changed remove diagram get instance remove element create element instance  
org.argouml.uml.diagram.state.ui.ButtonActionNewTimeEvent	  button action new time event button action new time event get key name get icon name create event  
org.argouml.cognitive.ToDoList	     do list    do list element list for offender add e add    do list listener get offenders get    do item list fire    do item changed notify observers notify observers notify observers spawn validity checker get decision list recompute all offenders remove    do list listener get goal list   paused set paused remove e pause add offenders get posters add posters force validity check force validity check recompute all posters fire    do items removed get resolved items fire    do item added fire    do item removed explicitly resolve add resolved critic fire    do items added    string get size add element resume run resolve remove all remove all elements remove element   sleep seconds items item set all offenders all posters resolved items validity checker designer listener list longest    do list number not valid   paused paused mutex  
org.argouml.uml.cognitive.critics.CrComponentWithoutNode	  critic component without node critic component without node compute offenders still valid    do item predicate   
org.argouml.uml.cognitive.critics.CrSubclassReference	  critic subclass reference critic subclass reference compute offenders still valid    do item get criticized design materials predicate   
org.argouml.uml.cognitive.critics.CrMultiComposite	  critic multiple composite critic multiple composite get wizard class get criticized design materials predicate   
org.argouml.uml.diagram.state.ui.PropPanelUMLStateDiagram	  property panel uml state diagram property panel uml state diagram  
org.argouml.uml.diagram.static_structure.layout.ClassdiagramNote	  class diagram note class diagram note get type order numer calculate weight get weight get rank first   standalone  
org.argouml.uml.reveng.SettingsTypes	  settings types settings types  
org.argouml.uml.reveng.ImporterManager	  importer manager importer manager has importers get importers add importer remove importer get instance   instance importers  
org.argouml.cognitive.ResolvedCritic	  resolved critic resolved critic get critic import offenders get critic string get offender list hash code equals    string   critic offenders  
org.argouml.uml.diagram.ui.ActionAddMessage	  action add message action add message     add message get target follower should be enabled action performed target follower  
org.argouml.application.api.InitSubsystem	  init subsystem init subsystem get project settings tabs get details tabs get settings tabs init  
org.argouml.persistence.XmiExtensionParser	  xmi extension parser xmi extension parser parse  
org.argouml.model.ExtensionMechanismsFactory	  extension mechanisms factory extension mechanisms factory build stereotype build stereotype build stereotype copy tagged values build tagged value build tagged value copy stereotype copy tag definition create stereotype create tagged value build tag definition build tag definition create tag definition  
org.argouml.uml.diagram.state.ui.FigInitialState	  figure initial state figure initial state set line color set line width get fill color set fill color set filled init figures get gravity points make selection set standard bounds create big port figure   filled clone   resizable mouse clicked get line width get line color x y state width height head     uid  
